id,name,visa-rank,gdp-cap,pol-rights,civil-libs,visa-access
SOM,Somalia,32,,7,7,194
ZAF,South Africa,94,6618,2,2,76
SSD,South Sudan ,39,1221,6,5,4
ESP,Spain,170,29118,1,1,73
LKA,Sri Lanka,38,3280,5,4,3
KNA,St. Kitts and Nevis,131,13710,1,1,101
LCA,St. Lucia,94,7309,1,1,147
VCT,St. Vincent and the Grenadines,92,6634,1,1,186
SDN,Sudan,38,1753,7,7,7
SUR,Suriname,72,9700,2,2,57
SWZ,Swaziland,66,3034,7,5,95
SWE,Sweden,173,58164,1,1,73
CHE,Switzerland,168,80528,1,1,73
SYR,Syria,39,,7,7,0
TJK,Tajikistan,50,1037,6,6,88
TZA,Tanzania,65,695,3,3,170
THA,Thailand,68,5779,4,4,76
TLS,Timor Leste,48,1371,3,4,194
TGO,Togo,53,636,5,4,194
TON,Tonga,80,4427,3,2,64
TTO,Trinidad and Tobago ,100,18373,2,2,104
TUN,Tunisia ,63,4329,3,4,74
TUR,Turkey,94,10946,3,4,119
TKM,Turkmenistan,46,7987,7,7,0
TUV,Tuvalu,81,3861,1,1,194
UGA,Uganda,63,572,5,4,194
UKR,Ukraine,77,3900,4,3,62
ARE,United Arab Emirates,72,41692,6,6,51
GBR,United Kingdom,173,39351,1,1,88
URY,Uruguay,132,16351,1,1,71
USA,USA,172,53143,1,1,4
UZB,Uzbekistan,52,1878,7,7,9
VUT,Vanuatu,79,3303,2,2,100
VEN,Venezuela,128,14415,5,5,71
VNM,Vietnam,45,1911,7,5,15
YEM,Yemen,43,1473,6,6,12
ZMB,Zambia,66,1540,3,4,133
ZWE,Zimbabwe,60,905,6,6,100
